bcr_patient_uuid	bcr_sample_barcode	bcr_analyte_barcode	bcr_analyte_uuid	a260_a280_ratio	amount	analyte_type	analyte_type_id	concentration	gel_image_file	is_derived_from_ffpe	normal_tumor_genotype_match	pcr_amplification_successful	ratio_28s_18s	rinvalue	spectrophotometer_method	subportion_sequence	well_number
										CDE_ID:4170571							
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-01A	TCGA-10-0926-01A-01D	a3a5f43b-840c-400a-aaad-bb49e0c65d31	1.90	0.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-01A	TCGA-10-0926-01A-01G	c082d5fe-f611-41b0-94d2-ca4ef5565237	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-01A	TCGA-10-0926-01A-01R	b9a23f14-bf2b-486b-955a-e91212ed1bd6	1.70	95.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.80	7.80	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-01A	TCGA-10-0926-01A-01T	0dbe2da7-a32c-4706-a9fb-374872deb821	[Not Available]	17.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-01A	TCGA-10-0926-01A-01W	ae8c0553-3c15-47a7-ac19-52b1420f5f81	[Not Available]	341.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-11A	TCGA-10-0926-11A-01D	f07bdbf7-aca6-4d60-ad0d-6c436c7cd036	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-11A	TCGA-10-0926-11A-01G	bda9c832-188e-416e-b3af-d4ae16db34ab	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
e641aed9-1dd8-4c30-b231-f12b20a76df0	TCGA-10-0926-11A	TCGA-10-0926-11A-01W	c0ae1e2b-8875-435e-84c8-9ca5b9c77022	[Not Available]	395.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
933dbfbd-4697-403e-bd73-c17cb300c94b	TCGA-10-0927-01A	TCGA-10-0927-01A-02D	2e96c917-8714-48b9-8f1a-783c79d6ead0	1.80	0.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
