Entrez_Id_1	Entrez_Id_2	Symbol_1	Symbol_2	Binary	BinarySingle	CoComplex	Prediction
4790	79155	NFKB1	TNIP2	1	0	0	0
7347	9736	UCHL3	USP34	0	0	1	0
324	10982	APC	MAPRE2	1	0	0	0
5034	23036	P4HB	ZNF292	0	0	1	0
1537	55967	CYC1	NDUFA12	0	0	1	0
4190	92483	MDH1	LDHAL6B	0	0	0	1
1513	1514	CTSK	CTSL	0	0	0	1
7879	83547	RAB7A	RILP	1	0	0	0
1281	5328	COL3A1	PLAU	0	0	0	1
8543	9659	LMO4	PDE4DIP	1	0	0	0
2043	2048	EPHA4	EPHB2	0	0	0	1
567	3127	B2M	HLA-DRB5	0	0	0	1
6430	10291	SRSF5	SF3A1	0	0	1	0
5608	5606	MAP2K6	MAP2K3	0	0	1	0
84445	253461	LZTS2	ZBTB38	1	0	0	0
4678	8357	NASP	HIST1H3H	1	0	0	0
6188	220717	RPS3	RPLP0P6	0	0	1	0
6141	6182	RPL18	MRPL12	0	0	1	0
53840	85363	TRIM34	TRIM5	1	0	0	0
84232	115939	MAF1	TSR3	0	0	1	0
1855	8312	DVL1	AXIN1	1	0	0	0
1410	84309	CRYAB	NUDT16L1	0	0	1	0
9407	83886	TMPRSS11D	PRSS27	0	0	0	1
10488	56475	CREB3	RPRM	1	0	0	0
55630	27333	SLC39A4	GOLIM4	0	0	1	0
10534	10963	SSSCA1	STIP1	0	0	1	0
5705	8856	PSMC5	NR1I2	1	0	0	0
27005	84196	USP21	USP48	0	0	0	1
7155	10432	TOP2B	RBM14	0	0	1	0
6129	51602	RPL7	NOP58	0	0	1	0
7336	7341	UBE2V2	SUMO1	0	0	0	1
8449	30846	DHX16	EHD2	0	0	1	0
8294	83740	HIST1H4I	H2AFB3	0	0	0	1
2091	6229	FBL	RPS24	0	0	1	0
6633	23517	SNRPD2	SKIV2L2	0	0	1	0
3609	3954	ILF3	LETM1	0	0	1	0
5501	220004	PPP1CC	PPP1R32	1	0	0	0
9039	51506	UBA3	UFC1	0	0	1	0
2771	91749	GNAI2	KIAA1919	0	0	1	0
63971	112714	KIF13A	TUBA3E	0	0	0	1
10083	64072	USH1C	CDH23	1	0	0	0
58157	114757	NGB	CYGB	0	0	0	1
2046	10188	EPHA8	TNK2	0	0	0	1
6147	7284	RPL23A	TUFM	0	0	1	0
1938	6125	EEF2	RPL5	0	0	1	0
11007	51207	CCDC85B	DUSP13	1	0	0	0
550	55251	AUP1	PCMTD2	0	0	1	0
6144	6160	RPL21	RPL31	0	0	1	0
7064	9942	THOP1	XYLB	0	0	1	0
23559	64210	WBP1	MMS19	0	0	1	0
7076	8510	TIMP1	MMP23B	0	0	0	1
27303	51335	RBMS3	NGRN	0	0	1	0
80142	388701	PTGES2	C1orf189	1	0	0	0
3189	11100	HNRNPH3	HNRNPUL1	0	1	1	0
945	113174	CD33	SAAL1	0	0	1	0
3718	3932	JAK3	LCK	0	0	0	1
51582	3799	AZIN1	KIF5B	0	0	1	0
79959	8812	CEP76	CCNK	1	0	0	0
466	1385	ATF1	CREB1	0	1	0	1
5878	326624	RAB5C	RAB37	0	0	0	1
3235	5451	HOXD9	POU2F1	0	0	0	1
3113	3045	HLA-DPA1	HBD	0	0	1	0
23229	27289	ARHGEF9	RND1	0	0	0	1
5774	5799	PTPN3	PTPRN2	0	0	0	1
813	54938	CALU	SARS2	0	0	1	0
6790	114880	AURKA	OSBPL6	0	0	1	0
84033	389337	OBSCN	ARHGEF37	0	0	0	1
1543	51719	CYP1A1	CAB39	0	0	1	0
867	4690	CBL	NCK1	1	0	0	0
2533	4689	FYB	NCF4	0	0	0	1
375056	64419	MIA3	MTMR14	0	0	1	0
5684	337879	PSMA3	KRTAP8-1	1	0	0	0
10529	256646	NEBL	NUTM1	1	0	0	0
57111	64284	RAB25	RAB17	0	0	0	1
200879	51148	LIPH	CERCAM	0	0	1	0
4736	6142	RPL10A	RPL18A	0	0	1	0
6714	23054	SRC	NCOA6	1	0	0	0
7381	7385	UQCRB	UQCRC2	0	0	1	0
3841	10762	KPNA5	NUP50	1	0	0	0
1739	9229	DLG1	DLGAP1	1	0	0	0
3178	4792	HNRNPA1	NFKBIA	1	0	0	0
5874	23011	RAB27B	RAB21	0	0	0	1
2892	2902	GRIA3	GRIN1	0	0	0	1
1738	2109	DLD	ETFB	0	0	1	0
5159	9368	PDGFRB	SLC9A3R1	1	0	0	0
9459	57630	ARHGEF6	SH3RF1	0	0	0	1
8500	26059	PPFIA1	ERC2	1	0	0	0
1933	1937	EEF1B2	EEF1G	1	0	1	1
3717	8835	JAK2	SOCS2	0	0	0	1
8227	80321	AKAP17A	CEP70	1	0	0	0
7332	7417	UBE2L3	VDAC2	0	0	1	0
816	85443	CAMK2B	DCLK3	0	0	0	1
7080	9839	NKX2-1	ZEB2	0	0	0	1
5733	80125	PTGER3	CCDC33	1	0	0	0
6160	6207	RPL31	RPS13	0	0	1	0
29896	91746	TRA2A	YTHDC1	0	1	1	0
6632	83443	SNRPD1	SF3B5	0	0	1	0
4223	8675	MEOX2	STX16	1	0	0	0
54534	64976	MRPL50	MRPL40	0	0	1	0
23011	84084	RAB21	RAB6C	0	0	0	1
8795	7357	TNFRSF10B	UGCG	0	0	1	0
51019	200081	CCDC53	TXLNA	1	0	0	0
3221	3229	HOXC4	HOXC13	0	0	0	1
51633	10988	OTUD6B	METAP2	0	0	1	0
6883	286436	TAF12	H2BFM	0	0	0	1
650	55636	BMP2	CHD7	0	0	0	1
54954	7024	FAM120C	TFCP2	1	0	0	0
1208	5406	CLPS	PNLIP	0	0	0	1
84932	116988	RAB2B	AGAP3	0	0	0	1
3965	9497	LGALS9	SLC4A7	0	0	1	0
3198	3201	HOXA1	HOXA4	0	0	0	1
23705	152330	CADM1	CNTN4	0	0	0	1
7490	9391	WT1	CIAO1	1	0	0	0
3236	170825	HOXD10	GSX2	0	0	0	1
1149	7334	CIDEA	UBE2N	0	0	0	1
3224	3227	HOXC8	HOXC11	0	0	0	1
9587	55183	MAD2L1BP	RIF1	1	0	0	0
2810	9729	SFN	KIAA0408	1	0	0	0
138046	1993	RALYL	ELAVL2	0	0	1	0
293	3881	SLC25A6	KRT31	1	0	0	0
5870	23263	RAB6A	MCF2L	0	0	0	1
10540	55860	DCTN2	ACTR10	0	0	1	0
10254	26994	STAM2	RNF11	1	0	0	0
51270	653583	TFDP3	PHLDB3	0	0	1	0
132141	2052	IQCF1	EPHX1	0	0	1	0
5878	6093	RAB5C	ROCK1	0	0	0	1
8294	23476	HIST1H4I	BRD4	1	0	0	0
9371	64147	KIF3B	KIF9	0	0	0	1
7431	10625	VIM	IVNS1ABP	1	0	0	0
9265	27128	CYTH3	CYTH4	0	0	0	1
5900	326624	RALGDS	RAB37	0	0	0	1
29948	27330	OSGIN1	RPS6KA6	0	0	1	0
6188	26354	RPS3	GNL3	0	0	1	0
2146	5252	EZH2	PHF1	1	0	0	0
9129	27257	PRPF3	LSM1	0	0	1	0
6734	9853	SRPR	RUSC2	1	0	0	0
1487	283248	CTBP1	RCOR2	0	0	1	0
3059	10580	HCLS1	SORBS1	0	0	0	1
